anchor,positive
"δηλοῖ δὲ τοῦθ᾿ ὁ μετ᾿ οὐ πολὺ τῶν ἀποστόλων ἐν τῷ καθ᾿ ἡμᾶς διαπρέψας λόγῳ Ἰουστῖνος, περὶ οὗ τὰ προσήκοντα κατὰ καιρὸν παραθήσομαι· ὃς δὴ ἐν τῇ προτέρᾳ πρὸς Ἀντωνῖνον ὑπὲρ τοῦ καθ᾿ ἡμᾶς δόγματος ἀπολογίᾳ γράφων ὧδέ φησιν· «καὶ μετὰ τὴν ἀνάληψιν τοῦ κυρίου εἰς οὐρανὸν προεβάλλοντο οἱ δαίμονες ἀνθρώπους τινὰς λέγοντας ἑαυτοὺς εἶναι θεούς, οἳ οὐ μόνον οὐκ ἐδιώχθησαν ὑφ᾿ ὑμῶν, ἀλλὰ καὶ τιμῶν ἠξιώθησαν· Σίμωνα μέν τινα Σαμαρέα, τὸν ἀπὸ κώμης λεγομένης Γίτθων, ὃς ἐπὶ Κλαυδίου Καίσαρος διὰ τῆς τῶν ἐνεργούντων δαιμόνων τέχνης δυνάμεις μαγικὰς ποιήσας ἐν τῇ πόλει ὑμῶν τῇ βασιλίδι Ῥώμῃ θεὸς ἐνομίσθη καὶ ἀνδριάντι παρ᾿ ὑμῶν ὡς θεὸς τετίμηται ἐν τῷ Τίβερι ποταμῷ μεταξὺ τῶν δύο γεφυρῶν, ἔχων ἐπιγραφὴν Ῥωμαϊκὴν ταύτην· SIMONI DEO SANCTO, ὅπερ ἐστὶν Σίμωνι θεῷ ἁγίῳ.","Ἰουστῖνος ἐν τῇ πρὸς Ἀντωνῖνον ἀπολογίᾳ φησὶν, μετὰ τὴν Ἀναλήψιν τοῦ Κυρίου, δαίμονες ἀνθρώπους ἑαυτοὺς θεοὺς εἶναι φαινομένους, οὐ μόνον οὐκ ἐδιώχθησαν, ἀλλὰ καὶ ἐτιμήθησαν, ὡς Σίμων ὁ μάγος ἐν Ῥώμῃ, ὅν θεὸν ἐνόμισαν καὶ ἀνδριάντι ἐτίμησαν."
"ὅ γε μὴν Ἀλεξανδρεὺς Κλήμης ἐν τρίτῳ Στρωματεῖ ταῦτα περὶ αὐτοῦ κατὰ λέξιν ἱστορεῖ· «ὡραίαν, φασί, γυναῖκα ἔχων οὗτος, μετὰ τὴν ἀνάληψιν τὴν τοῦ σωτῆρος πρὸς τῶν ἀποστόλων ὀνειδισθεὶς ζηλοτυπίαν, εἰς μέσον ἀγαγὼν τὴν γυναῖκα γῆμαι τῷ βουλομένῳ ἐπέτρεψεν.","Ἀναγιγνώσκει δὲ Κλήμης ὁ ἐξ Ἀλεξανδρείας ἐν τῷ γ΄ τῶν Στρωματέων ταῦτα περὶ τούτου· «γυναῖκα καλὴν κατέχων, μετὰ τὴν τοῦ σωτῆρος ἀνάληψιν, ὑπὸ τῶν ἀποστόλων ἐλεγθεὶς ὡς ζηλότυπος, ἐν δημοσίᾳ παρουσίᾳ προσήνεγκε τὴν γυναῖκα, καὶ ἀνέδωκεν ἐλευθέρως ὡς ἂν εἴληφεν ὁ βουλόμενος."
"«εἰσαχθέντων Διονυσίου καὶ Φαύστου καὶ Μαξίμου καὶ Μαρκέλλου καὶ Χαιρήμονος, Αἰμιλιανὸς διέπων τὴν ἡγεμονίαν εἶπεν· «καὶ ἀγράφως ὑμῖν διελέχθην περὶ τῆς φιλανθρωπίας τῶν κυρίων ἡμῶν ᾗ περὶ ὑμᾶς κέχρηνται· δεδώκασιν γὰρ ἐξουσίαν ὑμῖν σωτηρίας, εἰ βούλοισθε ἐπὶ τὸ κατὰ φύσιν τρέπεσθαι καὶ θεοὺς τοὺς σῴζοντας αὐτῶν τὴν βασιλείαν προσκυνεῖν, ἐπιλαθέσθαι δὲ τῶν παρὰ φύσιν.","Εἰσαχθέντων τῶν ἀνδρῶν ἐπώνυμοι Διονύσιος, Φαῦστος, Μάξιμος, Μάρκελλος, Χαιρήμων, ὁ ἡγεμὼν Αἰμιλιανὸς εἶπεν· «καὶ λόγῳ ἄγραφῳ διελέχθην ὑμῖν περὶ τῆς εὔνοιας τῶν ἡγεμόνων ἡμῶν ἣν πρὸς ὑμᾶς δεδήλωται· τὴν γὰρ ἐξουσίαν τοῦ σωθῆναι παρέσχον, ἐὰν ἐθέλητε ἐπ᾿ εὐθυγραμμίαν τοῦ φυσικοῦ ἀνακλίνεσθαι καὶ θεοὺς τοὺς τὴν βασιλείαν φυλάττοντας προσκυνεῖν, ἐπιλανθανόμενοι τῶν παρανόμων."
Περὶ τῆς μετὰ τὸν Χριστὸν ὑστάτης Ἰουδαίων πολιορκίας.,Περὶ τοῦ ἐσχάτου κατὰ τῶν Ἑβραίων πολέμου τοῦ μετὰ τὴν τοῦ Σωτῆρος ἐπιδημίαν γενομένου.
"Ἀλλὰ γὰρ Φίλιππον ἔτεσιν ἑπτὰ βασιλεύσαντα διαδέχεται Δέκιος· ὃς δὴ τοῦ πρὸς Φίλιππον ἔχθους ἕνεκα διωγμὸν κατὰ τῶν ἐκκλησιῶν ἐγείρει, ἐν ᾧ Φαβιανοῦ ἐπὶ Ῥώμης μαρτυρίῳ τελειωθέντος, Κορνήλιος τὴν ἐπισκοπὴν διαδέχεται.","Φίλιππος μὲν ἑπτέτην ἀρχὴν κατασχών, Δεκίῳ παραχωρεῖ· ὁ δὲ τῷ πρὸς ἐκεῖνον μίσει ὁρμώμενος, ἐκκλησίαις ἐπῆλθε· καὶ Φαβιανὸς μὲν ἐν Ῥώμῃ τὸ μαρτύριον ἐστεφανώσατο, Κορνηλίῳ δὲ τὴν τῶν πιστῶν προστασίαν ἐγχειρίζει."
"αἱ μέντοι Συρίαι ὅλαι καὶ ἡ Ἀραβία, οἷς ἐπαρκεῖτε ἑκάστοτε καὶ οἷς νῦν ἐπεστείλατε, ἥ τε Μεσοποταμία Πόντος τε καὶ Βιθυνία καὶ συνελόντι εἰπεῖν ἀγαλλιῶνται πάντες πανταχοῦ τῇ ὁμονοίᾳ καὶ φιλαδελφίᾳ, δοξάζοντες τὸν θεόν».","Πάντα τὰ μέρη τῆς Συρίας, ἅμα καὶ ἡ Ἀραβία, ὧν ὑμεῖς ἀεὶ ἀρκεῖσθε καὶ νῦν πρὸς ὑμᾶς ἀπεστάλησαν ἀγγελίαι, ἀσπάζονται ἐν εὐφροσύνῃ καὶ χαρᾷ μεγάλη, ἐν τῇ ἁρμονίᾳ καὶ τῇ ἀδελφικῇ στοργῇ συντάξαντες τὰς καρδίας αὐτῶν· ἡ δὲ Μεσοποταμία, ὡς καὶ Πόντος καὶ Βιθυνία, ὅπου τοὺς ἀνθρώπους εἰς κοινὴν εἰρήνην καὶ ἀγαπητὴν κοινωνίαν συνένευσαν, ἐν τῷ αὐτῷ πνεύματι δοξάζουσιν τὸν μέγαν καὶ πάνσοφον θεόν, ὃς τὴν ἑνότητα καὶ τὴν φιλίαν ἐνέπνευσεν εἰς τὰ ἔθνη."
"καὶ ταῦτα δ᾿, οἰκεῖα ὄντα τῇ μετὰ χεῖρας ὑποθέσει, ἐνταῦθά μοι κατὰ καιρὸν κείσθω.","Καὶ ταῦτα δὲ, ὅσα ἀφοροῦσιν ἐνταῦθα τῇ παροῦσῃ ὑποθέσει καὶ πρὸς τὸ παρὸν ζήτημα ἔχουσιν ἐξ ἰδίας πηγῆς ἀποδεδειγμένα, ἐνταῦθα καὶ κατὰ τὸν ἄριστον χρόνον, ὡς ἂν ὠφελιμώτατα καὶ σαφέστατα ἐκτεθῶσιν, ἐπιτρέπω εἰς τὴν ἀναγνῶσιν τε καὶ μελέτην ὑμῶν κεῖσθαι."
"Κατὰ δὲ τὸν αὐτὸν τῆς Κομόδου βασιλείας χρόνον μεταβέβλητο μὲν ἐπὶ τὸ πρᾶον τὰ καθ᾿ ἡμᾶς, εἰρήνης σὺν θείᾳ χάριτι τὰς καθ᾿ ὅλης τῆς οἰκουμένης διαλαβούσης ἐκκλησίας· ὅτε καὶ ὁ σωτήριος λόγος ἐκ παντὸς γένους ἀνθρώπων πᾶσαν ὑπήγετο ψυχὴν ἐπὶ τὴν εὐσεβῆ τοῦ τῶν ὅλων θεοῦ θρῃσκείαν, ὡς ἤδη καὶ τῶν ἐπὶ Ῥώμης εὖ μάλα πλούτῳ καὶ γένει διαφανῶν πλείους ἐπὶ τὴν σφῶν ὁμόσε χωρεῖν πανοικεί τε καὶ παγγενεῖ σωτηρίαν.","Ἐπὶ δὲ Κομόδου βασιλεύοντος πρὸς τὸ ἡμερώτερον μετεβάλοντο τὰ τῶν Χριστιανῶν, θείᾳ προνοίᾳ εἰρήνην κατὰ πάσης τῆς γῆς αἱ ἐκκλησίαι λαβούσης· τότε γὰρ ὁ θεῖος λόγος πᾶν ἔθνος ἀνθρώπων πρὸς τὴν εὐσέβειαν τοῦ παντοκράτορος ἔλκων, ὥστε καὶ τῶν ἐν Ῥώμῃ δόξῃ καὶ πλούτῳ ἐπιφανῶν πολλοὺς ὅλῳ τῷ οἴκῳ πρὸς σωτηρίαν προσίεσθαι."
"Τὸν γὰρ Ἰακώβου θρόνον, τοῦ πρώτου τῆς Ἱεροσολύμων ἐκκλησίας τὴν ἐπισκοπὴν πρὸς τοῦ σωτῆρος καὶ τῶν ἀποστόλων ὑποδεξαμένου, ὃν καὶ ἀδελφὸν τοῦ Χριστοῦ χρηματίσαι οἱ θεῖοι λόγοι περιέχουσιν, εἰς δεῦρο πεφυλαγμένον οἱ τῇδε κατὰ διαδοχὴν περιέποντες ἀδελφοὶ σαφῶς τοῖς πᾶσιν ἐπιδείκνυνται οἷον περὶ τοὺς ἁγίους ἄνδρας τοῦ θεοφιλοῦς ἕνεκεν οἵ τε πάλαι καὶ οἱ εἰς ἡμᾶς ἔσῳζόν τε καὶ ἀποσῴζουσι σέβας.","Τὸν Ἰακὼβου θρόνον, τῆς Ἱεροσολύμων ἐπισκοπῆς, οἵτινες διὰ διαδοχῆς τὸν σεβασμὸν διατηροῦσιν, σαφῶς δηλοῦσιν ὡς ἅγιοι ἀνέδειξαν καὶ ἡγήσανται τῆς ἐκκλησίας."
"ἐκείνους μὲν γὰρ ἐπεκούφιζεν ἡ χαρὰ τῆς μαρτυρίας καὶ ἡ ἐλπὶς τῶν ἐπηγγελμένων καὶ ἡ πρὸς τὸν Χριστὸν ἀγάπη καὶ τὸ πνεῦμα τὸ πατρικόν, τούτους δὲ τὸ συνειδὸς μεγάλως ἐτιμωρεῖτο, ὥστε καὶ παρὰ τοῖς λοιποῖς ἅπασιν κατὰ τὰς παρόδους διαδήλους τὰς ὄψεις αὐτῶν εἶναι.","τοὺς μὲν γὰρ ἔθαλπεν ἡ μαρτυρίου εὐφροσύνη καὶ ἡ τῶν ἐπαγγελιῶν προσδοκία καὶ ἡ εἰς Χριστὸν στοργὴ καὶ τὸ πατρῷον πνεῦμα, τοὺς δὲ ἡ συνειδήσεως βάσανος ἐδίωκεν, ὥστε καὶ ἐν ταῖς ὁδοῖς ἐκδηλοτάτους αὐτοὺς πᾶσιν εἶναι."
"ἐν τούτοις ἐστὶν καὶ ἡ περὶ μαρτυρίου πρὸς τὸν Ὠριγένην γραφεῖσα· καὶ τοῖς κατὰ Λαοδίκειαν ἀδελφοῖς, ὧν προΐστατο Θηλυμίδρης ἐπίσκοπος, καὶ τοῖς κατὰ Ἀρμενίαν ὡσαύτως περὶ μετανοίας ἐπιστέλλει, ὧν ἐπεσκόπευεν Μερουζάνης.","Οὐ δεῖ ἡμᾶς λησμονεῖν τὴν ἐπιστολὴν, ἣν ὁ ἀλεξανδρεὺς διδάσκαλος Ὠριγένης περὶ τοῦ μαρτυρίου ἔγραψε· οὐδὲ ὑστερεῖν τὰς πρὸς μετάνοιαν παρακλήσεις τῆς ἀληθοῦς καὶ μόνης πίστεως, ἃς αὐτὸς πρὸς τοὺς ἀνθρώπους τῆς Λαοδικείας καὶ τῆς Ἀρμενίας ἔγραψε."
"οὕτω γὰρ δὴ καὶ τὴν βάπτισιν ἀποδεκτὴν αὐτῷ φανεῖσθαι, μὴ ἐπί τινων ἁμαρτάδων παραιτήσει χρωμένων, ἀλλ᾿ ἐφ᾿ ἁγνείᾳ τοῦ σώματος, ἅτε δὴ καὶ τῆς ψυχῆς δικαιοσύνῃ προεκκεκαθαρμένης.","οὕτω γὰρ καὶ τὸ βάπτισμα αὐτῷ εὐπρόσδεκτον ἔσεσθαι, οὐκ ἐπὶ ἁμαρτημάτων συγγνώμῃ, ἀλλ᾿ ἐπὶ σωματικῇ καθαρότητι, ἐπειδὴ καὶ ἡ ψυχὴ δικαιοσύνῃ προκεκαθάρθαι."
"καὶ ἣ μὲν βιβλίδιόν σοι τῷ αὐτοκράτορι ἀνέδωκεν, πρότερον συγχωρηθῆναι αὐτῇ διοικήσασθαι τὰ ἑαυτῆς ἀξιοῦσα, ἔπειτα ἀπολογήσασθαι περὶ τοῦ κατηγορήματος μετὰ τὴν τῶν πραγμάτων αὐτῆς διοίκησιν, καὶ συνεχώρησας τοῦτο· ὁ δὲ ταύτης ποτὲ ἀνὴρ πρὸς ἐκείνην, [μὲν] μὴ δυνάμενος τὰ νῦν ἔτι λέγειν, πρὸς Πτολεμαῖόν τινα ὃν Οὐρβίκιος ἐκολάσατο, διδάσκαλον ἐκείνης τῶν Χριστιανῶν μαθημάτων γενόμενον, ἐτράπετο διὰ τοῦδε τοῦ τρόπου.","ἡ μὲν οὖν βραχὺ γράμμα τῷ βασιλεῖ προσέφερεν, αἰτησαμένη πρῶτον ἐπιτρέπεσθαι αὐτῇ τὰ οἰκεῖα διοικῆσαι, εἶτα περὶ τῆς αἰτίας ἀπολογήσασθαι, καὶ ἐπέτρεψας· ὁ δὲ ἀνὴρ αὐτῆς, μὴ δυνάμενος νῦν ἐκείνῃ λέγειν, πρὸς Πτολεμαῖον τινά, ὃν Οὐρβίκιος ἐτιμωρήσατο, ὡς διδάσκαλον αὐτῆς τῶν Χριστιανικῶν δογμάτων γεγονότα, οὕτως ἐχρήσατο."
"Ἐν τούτῳ καὶ ὁ μανεὶς τὰς φρένας ἐπώνυμός τε τῆς δαιμονώσης αἱρέσεως τὴν τοῦ λογισμοῦ παρατροπὴν καθωπλίζετο, τοῦ δαίμονος, αὐτοῦ δὴ τοῦ θεομάχου σατανᾶ, ἐπὶ λύμῃ πολλῶν τὸν ἄνδρα προβεβλημένου.","Ὁ μανεὶς ἡγεμὼν τῆς δαιμονίας αἱρέσεως, τὴν τοῦ λογισμοῦ διαφθορὰν ὅπλον ἐχρῆσαί τε καὶ ἀνθρώποις ὄλεθρον ἐποίει."
"οἳ δὲ ἀποτυχόντες τοῦ πεῖσαι αὐτόν, δεινὰ ῥήματα ἔλεγον καὶ μετὰ σπουδῆς καθῄρουν, ὡς κατιόντα ἀπὸ τοῦ ὀχήματος ἀποσῦραι τὸ ἀντικνήμιον· ἀλλὰ γὰρ μὴ ἐπιστραφείς, οἷα μηδὲν πεπονθώς, προθύμως μετὰ σπουδῆς ἐπορεύετο, ἀγόμενος εἰς τὸ στάδιον.","οἱ δὲ ἀπειθήσαντος αὐτοῦ, δεινὰ βλασφημήσαντες καὶ σπουδῇ καθυβρίσαντες, ὡς καὶ καταβάντα ἀπὸ τοῦ ἅρματος τὸν κνήμην ἀποσπᾶν· ὁ δὲ μὴ στραφείς, ὥσπερ οὐδὲν παθών, προθύμως ἠπείγετο, ἁγόμενος εἰς τὸ ἀμφιθέατρον."
"τοιαῦτα δὴ φιλοσόφου βίου τοῖς θεωμένοις παρέχων ὑποδείγματα, εἰκότως ἐπὶ τὸν ὅμοιον αὐτῷ ζῆλον πλείους παρώρμα τῶν φοιτητῶν, ὥστε ἤδη καὶ τῶν ἀπίστων ἐθνῶν τῶν τε ἀπὸ παιδείας καὶ φιλοσοφίας οὐ τοὺς τυχόντας ὑπάγεσθαι τῇ δι᾿ αὐτοῦ διδασκαλίᾳ· οἷς καὶ αὐτοῖς γνησίως ἐν βάθει ψυχῆς τὴν εἰς τὸν θεῖον λόγον πίστιν δι᾿ αὐτοῦ παραδεχομένοις, διαπρέπειν συνέβαινεν κατὰ τὸν τότε τοῦ διωγμοῦ καιρόν, ὡς καί τινας αὐτῶν ἁλόντας μαρτυρίῳ τελειωθῆναι.","Φιλοσόφου βίος ὑποδείγματα ἐδώκει, ζῆλον ἐν ἀκολούθοις ἐνέπνευσεν, καὶ ἀπίστους ἐθνῶν πρὸς τὴν πίστιν ἐπήνεγκε, ὥστε καὶ ἐν διωγμῷ τινὲς μαρτυρίῳ τελειωθῆναι."
"τοῦτον εὐθὺς ἐνόησεν κακῶν εἶναι αἴτιον, τὸν καί ποτε τῶν ἀγαθῶν γενόμενον, καὶ διακάρδιον ἔσχεν ὀδύνην, ἄθρουν δ᾿ αὐτῷ τῆς κοιλίας προσέφυσεν ἄλγημα, μετὰ σφοδρότητος ἀρξάμενον.","τοῦτον δὴ εὐθὺς ἔγνω κακοῦ ἀρχηγόν, τὸν ποτὲ ἀγαθοεργόν, καὶ καρδίαν μὲν ὀδύνη κατεῖχεν, κοιλίαν δὲ ἄλγος αἰφνίδιον μετὰ σφοδρότητος ἔλαβεν."
"τοὺς δ᾿ εὐθέως φρίκη καὶ φρενῶν ἔκστασις ρει, καὶ παρὰ τὴν ὄψιν ἐπεπήγεσαν.","Ἄμα δὲ τῷ θεάματι, δέος τι καὶ ἀνακοπὴ τῶν λογισμῶν αὐτοὺς κατέλαβεν, καὶ ὥσπερ ἀγάλματα ἔστησαν, πᾶσα κινήσεως δύναμις ἐν αὐτοῖς ἐκλελοίπει."
"ἐφ᾿ οἷς ἐναργῶς εἰς ἡμᾶς πεπληρωμένοις χαίροντες, τὸν ἐφεξῆς συνείρωμεν λόγον.","ὡς δὲ τὰ τοῖς πράγμασιν ἐμφανῶς ἐπιβεβηκότα ἐν ἡμῖν ἔδοξε χαρμονῆς ἄξια εἶναι, σκεψώμεθα τοίνυν τὰ ἑξῆς τῷ λόγῳ συμπλέκοντες."
"ὃ δὲ ἰδίᾳ πεῖραν αὐτῶν λαβεῖν θελήσας εὐλαβηθείς τε μή τι ἄρα συνθέμενοι ἀποκρύψωσι τὴν ἐν ταῖς γραφαῖς διὰ τῆς ἑρμηνείας ἀλήθειαν, χωρίσας αὐτοὺς ἀπ᾿ ἀλλήλων ἐκέλευσε τοὺς πάντας τὴν αὐτὴν ἑρμηνείαν γράφειν, καὶ τοῦτ᾿ ἐπὶ πάντων τῶν βιβλίων ἐποίησεν.","Θελήσας πειρᾶσθαι τὴν ἀλήθειαν, τοὺς ἀποκρύπτοντας ἐξέβαλε, καὶ πάντας ἐκέλευσεν τὴν αὐτὴν ἐρμηνείαν γράφειν, καὶ τοῦτο ἐποίησεν ἐπὶ πάντων τῶν βιβλίων."
"δέκατον μὲν γὰρ ἐπεῖχε Σευῆρος τῆς βασιλείας ἔτος, ἡγεῖτο δὲ Ἀλεξανδρείας καὶ τῆς λοιπῆς Αἰγύπτου Λαῖτος, τῶν δ᾿ αὐτόθι παροικιῶν τὴν ἐπισκοπὴν νεωστὶ τότε μετὰ Ἰουλιανὸν Δημήτριος ὑπειλήφει.","ἐνιαυτὸς ἦν δέκατος ἀπὸ τῆς Σεουήρου τυραννίδος ἀναβάσεως, ἡγεμονικὸν δὲ μέρος Αἰγύπτου τῷ Λαίτῳ διέκειτο· ἐπὶ τούτοις δὲ καὶ Δημήτριος, ἀντὶ Ἰουλιανοῦ γενομένος, τὰς τῶν ἐν Ἀλεξανδρείᾳ παροικούντων ἐκκλησίας πνευματικῶς ἐφρούρει."
"τῷ τε γὰρ Ὠριγένει τὰ τῆς κατὰ Χριστὸν διδασκαλίας ἐκ προγόνων ἐσῴζετο, ὡς καὶ τὰ τῆς πρόσθεν ἱστορίας ἐδήλου, τῷ τε Ἀμμωνίῳ τὰ τῆς ἐνθέου φιλοσοφίας ἀκέραια καὶ ἀδιάπτωτα καὶ μέχρις ἐσχάτης τοῦ βίου διέμενεν τελευτῆς, ὥς που καὶ οἱ τἀνδρὸς εἰς ἔτι νῦν μαρτυροῦσι πόνοι, δι᾿ ὧν κατέλιπε συγγραμμάτων παρὰ τοῖς πλείστοις εὐδοκιμοῦντος, ὥσπερ οὖν καὶ ὁ ἐπιγεγραμμένος Περὶ τῆς Μωυσέως καὶ Ἰησοῦ συμφωνίας καὶ ὅσοι ἄλλοι παρὰ τοῖς φιλοκάλοις εὕρηνται.","Ὀριγένης μὲν ἐκ προγόνων τὴν ἐν Χριστῷ διδασκαλίαν παρέλαβεν, καθάπερ καὶ αἱ ἀρχαίαι διηγοῦνται ἱστορίαι· Ἀμμώνιος δὲ τὴν θείαν φιλοσοφίαν ἀκέραιον καὶ καθαρὰν διεκράτησεν ἄχρι τοῦ τέλους τοῦ βίου. μαρτυροῦσι δὲ περὶ τούτων καὶ αἱ φιλοπονοῦντες αὐτοῦ γραφαί, αἵτινες ἐν πολλοῖς ἔτι καὶ νῦν τιμῶνται, ὡς ἐκείνη ἡ Περὶ τῆς συμφωνίας Μωυσέως καὶ Ἰησοῦ, καὶ ἕτεραι παραπλήσιαι παρὰ τοῖς φιλοκάλοις."
"ἐνταῦθα δὴ μεγάλη τις οἰκονομία θεοῦ ἐγίνετο καὶ ἔλεος ἀμέτρητον ἀνεφαίνετο Ἰησοῦ, σπανίως μὲν ἐν τῇ ἀδελφότητι γεγονός, μὴ ἀπολειπόμενον δὲ τῆς τέχνης Χριστοῦ.","Ἐνταῦθα δὴ μεγάλη τις οἰκονομία τοῦ παντοκράτορος θεοῦ ἐγίνετο, ὅτε ἔλεος ἀμέτρητον καὶ ἀκατανόητον ἀνεφαίνετο διὰ τοῦ σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ, ὃς σπανίως μὲν ἐν τῇ ἁγνῇ καὶ ἀδελφικῇ κοινωνίᾳ τῶν πιστῶν γεγονός, οὐδὲν μὴ ἀπολειπόμενον τῆς θεικῆς τέχνης καὶ σοφίας τοῦ Χριστοῦ, ἀλλὰ δι᾿ αὐτῆς ἐκάθαρσεν καὶ ἐδυνάμωσε τὰς ψυχὰς τῶν ἀκολουθούντων, ἵνα μὴ μόνον ἐν τοῖς λόγοις ἀλλὰ καὶ ἐν ταῖς ἐνεργείαις ὁμολογήσῃται ἡ σωτηρία καὶ ἡ χάρις τοῦ Θεοῦ."
"ΑΠΟ ΤΟΥ ΤΡΙΤΟΥ ΤΩΝ ΠΡΟΣ ΤΑΣ ΑΙΡΕΣΕΙΣ ΕΙΡΗΝΑΙΟΥ «Καὶ Πολύκαρπος δὲ οὐ μόνον ὑπὸ ἀποστόλων μαθητευθεὶς καὶ συναναστραφεὶς πολλοῖς τοῖς τὸν κύριον ἑορακόσιν, ἀλλὰ καὶ ὑπὸ ἀποστόλων κατασταθεὶς εἰς τὴν Ἀσίαν ἐν τῇ ἐν Σμύρνῃ ἐκκλησίᾳ ἐπίσκοπος, ὃν καὶ ἡμεῖς ἑοράκαμεν ἐν τῇ πρώτῃ ἡμῶν ἡλικίᾳ (ἐπὶ πολὺ γὰρ παρέμεινεν καὶ πάνυ γηραλέος ἐνδόξως καὶ ἐπιφανέστατα μαρτυρήσας, ἐξῆλθεν τοῦ βίου), ταῦτα διδάξας ἀεὶ ἃ καὶ παρὰ τῶν ἀποστόλων ἔμαθεν, ἃ καὶ ἡ ἐκκλησία παραδίδωσιν, ἃ καὶ μόνα ἐστὶν ἀληθῆ.","Πολύκαρπος οὐ μόνος διὰ τῶν ἀποστόλων ἐμαθήτευσε καὶ συνεβίωσε τοῖς πολλοῖς, οἳ τὸν Κύριον εἶδον, ἀλλὰ καὶ διὰ τῶν ἀποστόλων ὡς ἐπίσκοπος ἐτέθη ἐν Ἀσίᾳ, ἐν τῇ Σμύρνης ἐκκλησίᾳ. ἡμεῖς αὐτὸν εἴδομεν ἐν τῇ νεότητί μας· μέγας γὰρ ἐπακολούθησεν ὡς γέρων ἐνδόξως καὶ φανερῶς, καὶ ἀπῆλθεν ἀπὸ τῆς ζωῆς. ἃ διδάσκων ἔμαθεν παρὰ τῶν ἀποστόλων, καὶ ἡ ἐκκλησία αὐτὰ μόνο ἀποδέδωκεν ὡς ἀληθῆ."
"τὰ μὲν οὖν ἐπὶ τούτῳ περὶ αὐτοῦ κεκινημένα τά τε ἐπὶ τοῖς κινηθεῖσιν δεδογμένα τοῖς τῶν ἐκκλησιῶν προεστῶσιν ὅσα τε ἄλλα ἀκμάζων περὶ τὸν θεῖον εἰσενήνεκται λόγον, ἰδίας δεόμενα συντάξεως, μετρίως ἐν τῷ δευτέρῳ ἧς ὑπὲρ αὐτοῦ πεποιήμεθα ἀπολογίας ἀνεγράψαμεν· ταῦτα δ᾿ ἐκείνοις δέοι ἂν ἐπιθεῖναι ὡς ἐν μὲν τῷ ἕκτῳ τῶν εἰς τὸ κατὰ Ἰωάννην Ἐξηγητικῶν σημαίνει τὰ πρότερα πέντε ἐπ᾿ Ἀλεξανδρείας ἔτ᾿ ὄντα αὐτὸν συντάξαι, τῆς δ᾿ εἰς τὸ πᾶν εὐαγγέλιον αὐτὸ δὴ τοῦτο πραγματείας μόνοι δύο καὶ εἴκοσι εἰς ἡμᾶς περιῆλθον τόμοι· κατὰ δὲ τὸ ἔνατον τῶν Εἰς τὴν Γένεσιν (δώδεκα δ᾿ ἐστὶν τὰ πάντα) οὐ μόνον τοὺς πρὸ τοῦ ἐνάτου δηλοῖ ἐπὶ τῆς Ἀλεξανδρείας ὑπεμνηματίσθαι, καὶ εἰς τοὺς πρώτους δὲ πέντε καὶ εἴκοσι Ψαλμοὺς ἔτι τε τὰ εἰς τοὺς Θρήνους, ὧν εἰς ἡμᾶς ἐληλύθασιν τόμοι πέντε, ἐν οἷς μέμνηται καὶ τῶν Περὶ ἀναστάσεως· δύο δ᾿ ἐστὶν καὶ ταῦτα.","Τὰ περὶ αὐτοῦ κειμένα, καθώς καὶ τὰ ἐπὶ τῶν κινήσεων, ὅσα ἐφ’ ὧν ἔλαβον οἱ ἡγεμόνες τῶν ἐκκλησιῶν καὶ ἄλλα πολλά πνευματικῶς συναρμοσθέντα, ἐπειδὴ ἔδει ἰδιαιτέρας διατάξεως, μέτριαν ἀπολογίαν ἐν τῷ δευτέρῳ ἐγγράψαμεν ὑπὲρ αὐτοῦ· τὰ δὲ τοιαῦτα ἐκεῖνοι ἄξιον ἔχει νὰ προσαρτήσωσι, ὡς ἐν τῷ ἕκτῳ τῶν Ἐξηγητικῶν εἰς τὸ Κατὰ Ἰωάννην σημεῖον ὅτι ἀναγκάζεται νὰ συντάξῃ τὰ πρῶτα πέντε, ἐν Ἀλεξανδρείᾳ ἔτι ζῶντα· τοῦ δὲ πᾶσι τοῖς εὐαγγελίοις τὸ παρόν μέρος μόνον εἰς ἡμᾶς εἰσῆλθε, ὁ ὁποῖος ἀποτελεῖται ἀπὸ δύο καὶ εἴκοσι τόμους· ἐν τῷ ἐνάτῳ τοῦ Εἰς τὴν Γένεσιν (τῶν δώδεκα ἐστὶν ὅλων) οὐ μόνον τοὺς πρὸ τοῦ ἐνάτου ἀναφέρεται ὅτι ἐν Ἀλεξανδρείᾳ ἐπεξεργάσθησαν, ἀλλὰ καὶ τοὺς πρώτους εἴκοσι πέντε ψαλμοὺς καὶ τὰ εἰς τοὺς Θρήνους, ὧν πέντε τόμοι ἡμῖν παρεδόθησαν, ἐν ᾧ μνημονεύει καὶ τὰ περὶ ἀναστάσεως· δύο δὲ καὶ ἐκεῖνα."
